Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
9/25/1998,34.5,34.94,34.12,34.69,2180000,0,1,25.44605663,25.77058605,25.16578122,25.58619433,2180000
9/24/1998,33.81,34.5,33.69,34.5,3805200,0,1,24.9371355,25.44605663,24.84862747,25.44605663,3805200
9/23/1998,34.19,34.69,33.69,33.81,7053800,0,1,25.2174109,25.58619433,24.84862747,24.9371355,7053800
9/22/1998,34,34.62,34,34.19,3439900,0,1,25.0772732,25.53456465,25.0772732,25.2174109,3439900
9/21/1998,34.44,34.75,33.88,34,3469000,0,1,25.40180262,25.63044834,24.98876518,25.0772732,3469000
9/18/1998,34.19,34.62,34.19,34.44,3619000,0,1,25.2174109,25.53456465,25.2174109,25.40180262,3619000
9/17/1998,34.38,34.38,33.56,34.06,3066700,0,1,25.3575486,25.3575486,24.75274378,25.12152721,3066700
9/16/1998,34.25,34.69,34,34.5,5677100,0,1,25.26166491,25.58619433,25.0772732,25.44605663,5677100
9/15/1998,34.38,34.94,34.12,34.25,3785000,0,1,25.3575486,25.77058605,25.16578122,25.26166491,3785000
9/14/1998,34.06,34.75,34.06,34.38,3756900,0,1,25.12152721,25.63044834,25.12152721,25.3575486,3756900
9/11/1998,33.88,34.06,33.56,34,4035200,0,1,24.98876518,25.12152721,24.75274378,25.0772732,4035200
9/10/1998,34.56,34.56,33.62,33.88,4718300,0,1,25.49031064,25.49031064,24.79699779,24.98876518,4718300
9/9/1998,36.19,36.19,35.06,35.25,4004300,0,1,26.69254462,26.69254462,25.85909407,25.99923177,4004300
9/8/1998,35.5,37.75,35.5,36.19,4994100,0,1,26.18362349,27.84314892,26.18362349,26.69254462,4994100
9/4/1998,34.56,35,33.81,33.94,3880800,0,1,25.49031064,25.81484006,24.9371355,25.03301919,3880800
9/3/1998,34,34.56,33.06,34.56,6228900,0,1,25.0772732,25.49031064,24.38396035,25.49031064,6228900
9/2/1998,33.56,34.44,33.56,34,8434200,0,1,24.75274378,25.40180262,24.75274378,25.0772732,8434200
9/1/1998,32.12,33.94,32.12,33.06,15698200,0,1,23.6906475,25.03301919,23.6906475,24.38396035,15698200
8/31/1998,33.94,34.19,29,30.94,6486200,0,1,25.03301919,25.2174109,21.3894389,22.82031861,6486200
8/28/1998,35,35.25,33.5,33.94,4223500,0,1,25.81484006,25.99923177,24.70848977,25.03301919,4223500
8/27/1998,35.44,35.44,34.25,35,4723800,0,1,26.13936948,26.13936948,25.26166491,25.81484006,4723800
8/26/1998,35.38,35.62,35,35.5,3528300,0,1,26.09511546,26.27213151,25.81484006,26.18362349,3528300
8/25/1998,35.69,36.38,35.12,35.38,4105300,0,1,26.32376119,26.83268232,25.90334808,26.09511546,4105300
8/24/1998,36.38,36.81,35.5,35.69,4131800,0,1,26.83268232,27.14983607,26.18362349,26.32376119,4131800
8/21/1998,36.31,36.44,35.81,36.38,3533800,0,1,26.78105264,26.87693633,26.41226921,26.83268232,3533800
8/20/1998,36.62,36.62,36.06,36.31,4070500,0,1,27.00969837,27.00969837,26.59666093,26.78105264,4070500
8/19/1998,37.56,37.75,36.56,36.75,3916300,0,1,27.70301122,27.84314892,26.96544436,27.10558206,3916300
8/18/1998,37,37.94,37,37.56,3628100,0,1,27.28997377,27.98328662,27.28997377,27.70301122,3628100
8/17/1998,36.81,37.12,36.06,36.94,3425800,0,1,27.14983607,27.3784818,26.59666093,27.24571976,3425800
8/14/1998,37.19,37.75,36.31,36.81,4811200,0,1,27.43011148,27.84314892,26.78105264,27.14983607,4811200
8/13/1998,38.75,38.75,37.12,37.19,5264100,0,1,28.58071578,28.58071578,27.3784818,27.43011148,5264100
8/12/1998,38,38.88,37.69,38.88,5168100,0.14,1,28.02754063,28.67659947,27.79889491,28.67659947,5168100
8/11/1998,38.5,38.5,37.25,38,5340100,0,1,28.29444079,28.29444079,27.37579011,27.92698052,5340100
8/10/1998,39.25,39.38,38.25,39.25,5927300,0,1,28.84563119,28.94117086,28.11071065,28.84563119,5927300
8/7/1998,37.06,39.44,36.81,39.25,12764300,0,1,27.23615521,28.9852661,27.05242508,28.84563119,12764300
8/6/1998,36.5,37.19,36.06,37.06,5701300,0,1,26.82459971,27.33169488,26.50123467,27.23615521,5701300
8/5/1998,36.88,38,36.06,36.5,6621700,0,1,27.10386951,27.92698052,26.50123467,26.82459971,6621700
8/4/1998,37.88,38.38,36.75,36.88,6537200,0,1,27.83879005,28.20625032,27.00832984,27.10386951,6537200
8/3/1998,38.69,38.69,37.81,37.88,5944200,0,1,28.43407569,28.43407569,27.78734562,27.83879005,5944200
7/31/1998,39.12,39.25,38.75,38.81,6369400,0,1,28.75009152,28.84563119,28.47817092,28.52226616,6369400
7/30/1998,39,39.44,39,39.12,5497700,0,1,28.66190106,28.9852661,28.66190106,28.75009152,5497700
7/29/1998,39,39.38,38.56,38.75,7578000,0,1,28.66190106,28.94117086,28.33853602,28.47817092,7578000
7/28/1998,39,39.25,38.62,39,9369800,0,1,28.66190106,28.84563119,28.38263125,28.66190106,9369800
7/27/1998,40.25,40.25,37.94,39,12854200,0,1,29.58055173,29.58055173,27.88288529,28.66190106,12854200
